basket_type,label,source_count,count,avg_return_pct,median_return_pct,win_rate_pct
sector_top20,サービス業,502,20,5.477797899712828,1.8800682466685537,55.00000000000001
sector_top20,不動産業,127,20,5.255985784433989,-5.8075827841510055,30.0
sector_top20,陸運業,53,20,3.107697763910801,-3.8516512902794506,45.0
sector_top20,情報・通信業,560,20,2.4719958375747404,-2.140462427745665,35.0
sector_top20,医薬品,74,20,1.6875711907647684,-1.248499838243422,50.0
sector_top20,食料品,121,20,1.449892695493649,0.7903279131976859,50.0
sector_top20,繊維製品,46,20,-0.8696949676714212,-2.443478260869564,30.0
sector_top20,電気機器,225,20,-2.500139898125522,-5.340198187505408,35.0
sector_top20,倉庫・運輸関連業,31,20,-2.903611367601323,-4.769529250009175,40.0
sector_top20,非鉄金属,32,20,-3.658595295392049,-9.165264339277035,15.0
sector_top20,その他製品,105,20,-3.7927680713843546,-6.1678249436513894,20.0
sector_top20,その他金融業,37,20,-4.743134389270251,-7.031846215983101,20.0
sector_top20,金属製品,85,20,-4.832803900845419,-7.324101241812631,30.0
sector_top20,パルプ・紙,24,20,-5.727053562849865,-7.855449090205186,15.0
sector_top20,建設業,137,20,-6.060717881403358,-5.762013216141659,30.0
sector_top20,卸売業,285,20,-6.467203399122601,-5.208364984608194,30.0
sector_top20,小売業,317,20,-6.499670737721681,-5.068445610146977,20.0
sector_top20,鉄鋼,39,20,-7.168719621658329,-9.747563451776648,20.0
sector_top20,電気・ガス業,27,20,-7.879354618257639,-8.708824702111674,10.0
sector_top20,ガラス・土石製品,49,20,-8.498999873042845,-10.29974428100251,20.0
sector_top20,化学,203,20,-9.650898200810651,-12.296837228041902,10.0
sector_top20,精密機器,47,20,-10.211536816939597,-11.473024021697015,30.0
sector_top20,機械,214,20,-11.23885132643356,-11.75314852833202,20.0
sector_top20,輸送用機器,86,20,-12.553049804123345,-12.941504712741608,15.0
sector_top20,銀行業,78,20,-14.785031596417522,-15.814851910144512,5.0
sector_top20,証券、商品先物取引業,35,20,-15.334469291818623,-15.81554786885403,10.0
