mapping_name,mapping_ja,earnings_pre_days,earnings_post_days,gold_ticker,gold_phases,dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct,phase_pnl
practical_phase_adaptive_v31_pre1_post5_gold_switch,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_金ETF切替,1,5,1328.T,"['crash', 'high_vol']",q2_2024,2789075.4510498047,-7.030818298339847,14,-8.480742635826942,"{'capitulation_end': -123250.0, 'crash': 46400.0, 'high_vol': -51466.650390625, 'normal': -124024.748046875, 'overheated_range': -6111.650390625, 'stable': -6838.1749267578125, 'surge': 0.0, 'uptrend': 54366.6748046875}"
practical_phase_adaptive_v31_pre1_post5_gold_switch,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_金ETF切替,1,5,1328.T,"['crash', 'high_vol']",q3,3346120.162597657,11.537338753255245,46,-6.7112915137793046,"{'high_vol': -50500.0, 'normal': 196435.34960937547, 'overheated_range': 53308.825195312966, 'settling': 85789.3374633789, 'stable': -125184.150390625, 'uptrend': 186270.80072021484}"
practical_phase_adaptive_v31_pre1_post5_gold_switch,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_金ETF切替,1,5,1328.T,"['crash', 'high_vol']",q4,3130310.3251953125,4.343677506510413,19,-2.949444807315482,"{'high_vol': -22950.0, 'normal': 110084.5, 'stable': 675.8251953125, 'surge': 42500.0, 'uptrend': 0.0}"
practical_phase_adaptive_v31_pre1_post5_gold_switch,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_金ETF切替,1,5,1328.T,"['crash', 'high_vol']",4q2,3404991.5,13.499716666666671,43,-4.817823515032038,"{'crash': 0.0, 'high_vol': -29590.0, 'normal': 398390.0, 'settling': 102125.0, 'surge': 48400.0, 'uptrend': -114333.5}"
