date,ticker,action,price,shares,reason
2024-07-01,4275.T,BUY,1468.705,100,entry
2024-07-01,1921.T,BUY,866.81,100,entry
2024-07-01,8750.T,BUY,1120.0,100,entry
2024-07-01,9436.T,BUY,1991.9374999999998,100,entry
2024-07-01,7912.T,BUY,2746.5899999999997,100,entry
2024-07-01,2674.T,BUY,2112.2149999999997,200,entry
2024-07-01,3766.T,BUY,1074.885,400,entry
2024-07-01,9709.T,BUY,882.035,500,entry
2024-07-01,7456.T,BUY,2979.0,200,entry
2024-07-02,2415.T,BUY,1537.725,100,entry
2024-07-03,9436.T,SELL,1987.5,100,sell_signal
2024-07-04,8059.T,BUY,2489.7949999999996,100,entry
2024-07-08,3766.T,SELL,1021.0,400,stop_loss
2024-07-09,1921.T,SELL,800.0,100,stop_loss
2024-07-09,8059.T,SELL,2421.0,100,sell_signal
2024-07-10,7456.T,SELL,2871.0,200,sell_signal
2024-07-10,2415.T,SELL,1724.0,100,take_profit
2024-07-10,6787.T,BUY,7510.999999999999,200,entry
2024-07-11,6787.T,SELL,7380.0,200,sell_signal
2024-07-11,7721.T,BUY,3850.0,300,entry
2024-07-12,7721.T,SELL,3750.0,300,sell_signal
2024-07-12,8081.T,BUY,1683.8849999999998,800,entry
2024-07-17,3583.T,BUY,1174.0,100,entry
2024-07-18,7912.T,SELL,2608.5,100,stop_loss
2024-07-22,8081.T,SELL,1673.0,800,sell_signal
2024-07-23,7721.T,BUY,3660.0,400,entry
2024-07-25,4275.T,SELL,1395.0,100,stop_loss
2024-07-25,3583.T,SELL,1148.0,100,sell_signal
2024-07-25,7721.T,SELL,3330.0,400,stop_loss
2024-07-26,2674.T,SELL,2037.0,200,sell_signal
2024-07-29,7979.T,BUY,2413.1625,300,entry
2024-07-29,3817.T,BUY,4320.0,100,entry
2024-07-29,3143.T,BUY,582.6099999999999,1700,entry
2024-07-30,7979.T,SELL,2445.0,300,sell_signal
2024-07-31,3817.T,SELL,4370.0,100,sell_signal
2024-08-02,8750.T,SELL,1027.75,100,stop_loss
2024-08-02,3143.T,SELL,534.3333129882812,1700,stop_loss
2024-08-05,9709.T,SELL,733.0,500,stop_loss
2024-08-29,7979.T,BUY,2620.0,900,entry
2024-09-04,7979.T,SELL,2405.0,900,stop_loss
2024-09-10,9028.T,BUY,2100.035,1100,entry
2024-09-11,9028.T,SELL,2032.0,1100,sell_signal
2024-09-12,4549.T,BUY,2339.0,900,entry
2024-09-18,4549.T,SELL,2385.0,900,sell_signal
