dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct,v35_return_pct,diff_pt
q2_2024,2512513.500000001,-16.249549999999967,15,-21.121110232067497,3.89,-20.139549999999968
q3,3445761.8251953134,14.85872750651045,10,-7.334828237688007,29.06,-14.20127249348955
q4,3031478.4246826177,1.0492808227539285,40,-4.335604872194276,7.15,-6.100719177246072
4q2,2840593.250000001,-5.313558333333301,52,-14.600299463037258,4.32,-9.633558333333301
